Item,Price (INR),Category,Subcategory,date,quantity,City,branch,amount,profit
Pizza (Veggie),400,Food,Pizza,30-07-2024,3,Indore,CAFE 1,1200,720.0
Pudding (Chocolate),80,Beverage,Desserts,31-07-2024,8,Pune,CAFE 2,640,352.0
Pudding (Vanilla),200,Beverage,Desserts,01-08-2024,6,Indore,CAFE 1,1200,660.0
Quiche,150,Beverage,Other,02-08-2024,3,Delhi,CAFE 3,450,247.50000000000003
Salad (Caesar),120,Beverage,Salads,03-08-2024,7,Delhi,CAFE 1,840,462.00000000000006
Salad (Garden),180,Beverage,Salads,04-08-2024,10,Pune,CAFE 2,1800,990.0000000000001
Salad (Greek),70,Beverage,Salads,05-08-2024,3,Indore,CAFE 1,210,115.50000000000001
Scone,150,Beverage,Other,06-08-2024,10,Pune,CAFE 2,1500,825.0000000000001
Spring Rolls,120,Beverage,Snacks,07-08-2024,6,Delhi,CAFE 3,720,396.00000000000006
Sweet Potato Fries,200,Beverage,Snacks,08-08-2024,6,Bangalore,CAFE 1,1200,660.0
Tacos (Beef),180,Beverage,Wraps/Tacos,09-08-2024,7,Indore,CAFE 2,1260,693.0
Tacos (Chicken),160,Beverage,Wraps/Tacos,10-08-2024,1,Indore,CAFE 1,160,88.0
Tacos (Veggie),200,Beverage,Wraps/Tacos,11-08-2024,2,Pune,CAFE 1,400,220.00000000000003
Tiramisu,220,Beverage,Other,12-08-2024,3,Indore,CAFE 3,660,363.00000000000006
Wrap (Chicken),250,Beverage,Wraps/Tacos,13-08-2024,5,Indore,CAFE 2,1250,687.5
Wrap (Veggie),260,Beverage,Wraps/Tacos,14-08-2024,10,Bangalore,CAFE 1,2600,1430.0000000000002
Americano,200,Beverage,Other,15-08-2024,4,Delhi,CAFE 2,800,440.00000000000006
Apple Juice,150,Beverage,Juice,16-08-2024,8,Pune,CAFE 3,1200,660.0
Black Tea,100,Beverage,Tea,17-08-2024,8,Pune,CAFE 1,800,440.00000000000006
Bottled Water,80,Beverage,Other,18-08-2024,2,Delhi,CAFE 1,160,88.0
Cappuccino,250,Beverage,Other,19-08-2024,9,Bangalore,CAFE 2,2250,1237.5
Chai Latte,200,Beverage,Tea,20-08-2024,6,Bangalore,CAFE 2,1200,660.0
Coconut Water,150,Beverage,Other,21-08-2024,5,Bangalore,CAFE 1,750,412.50000000000006
Cola,80,Beverage,Soda,22-08-2024,3,Bangalore,CAFE 2,240,132.0
Cold Brew,220,Beverage,Iced Drinks,23-08-2024,10,Indore,CAFE 3,2200,1210.0
Diet Cola,80,Beverage,Soda,24-08-2024,3,Pune,CAFE 1,240,132.0
Energy Drink,150,Beverage,Soda,25-08-2024,4,Pune,CAFE 3,600,330.0
Espresso,150,Beverage,Other,26-08-2024,1,Indore,CAFE 3,150,82.5
Flat White,230,Beverage,Other,27-08-2024,8,Delhi,CAFE 1,1840,1012.0000000000001
Ginger Ale,100,Beverage,Other,28-08-2024,1,Bangalore,CAFE 1,100,55.00000000000001
Grapefruit Juice,150,Beverage,Juice,29-08-2024,5,Pune,CAFE 3,750,412.50000000000006
Green Tea,100,Beverage,Tea,30-08-2024,8,Delhi,CAFE 1,800,440.00000000000006
